fecha,hora,prediccion_frio_kw
2022-10-02,,19278.112306168758
2022-10-03,,21354.149242411724
2022-10-04,,21344.08903889599
2022-10-05,,22005.793301233953
2022-10-06,,21420.656862489384
2022-10-07,,19095.660057101184
2022-10-08,,19875.439760741065
2022-10-09,,17238.55406948079
2022-10-10,,21365.659782545645
2022-10-11,,24131.545499983404
2022-10-12,,20589.680963147468
2022-10-13,,19659.390369411598
2022-10-14,,20219.03831485893
2022-10-15,,19892.37857974451
2022-10-16,,15656.028917408672
2022-10-17,,18837.259123482432
2022-10-18,,22002.83459576189
2022-10-19,,18865.878516957873
2022-10-20,,18319.61968471841
2022-10-21,,18395.1711538251
2022-10-22,,17426.68150930265
2022-10-23,,18496.733648038466
2022-10-24,,21922.22180573308
2022-10-25,,23811.252812032842
2022-10-26,,25567.35615240757
2022-10-27,,23599.90325296396
2022-10-28,,20515.034741301486
2022-10-29,,17491.46013688701
2022-10-30,,14940.052907515914
2022-11-01,,14187.082844261768
2022-11-02,,15038.964071805054
2022-11-03,,14613.13975382348
2022-11-04,,17030.601030074893
2022-11-05,,17344.346128972255
2022-11-06,,16433.284383818736
2022-11-07,,15710.811832662203
2022-11-08,,17239.697355921784
2022-11-09,,17015.29568088163
2022-11-10,,17123.162143265872
2022-11-11,,18741.775928407835
2022-11-12,,16269.603789217494
2022-11-13,,15548.053987814617
2022-11-14,,18256.453547784557
2022-11-15,,21200.64463886591
2022-11-16,,20587.504328435705
2022-11-17,,20508.160161921915
2022-11-18,,20547.92477018229
2022-11-19,,19261.471135755113
2022-11-20,,17466.825092780466
2022-11-21,,14304.182070864583
2022-11-22,,14543.296636238125
2022-11-23,,16212.436860394468
2022-11-24,,17122.636258942846
2022-11-25,,16414.881397941233
2022-11-26,,17524.175773536546
2022-11-27,,15391.794446058544
2022-11-28,,15726.97563979838
2022-11-29,,17395.539028438216
2022-11-30,,18153.70049624851
2022-12-01,,17772.953657596572
2022-12-02,,18470.71880071631
2022-12-03,,17895.83576988594
2022-12-04,,16894.945974626746
2022-12-05,,18205.549509951725
2022-12-06,,19488.84183450873
2022-12-07,,18449.51164361614
2022-12-08,,19169.020311103293
2022-12-09,,17133.497466621615
2022-12-10,,11821.355501924132
2022-12-11,,10214.840481652935
2022-12-12,,13464.040385778539
2022-12-13,,14528.344664578543
2022-12-14,,13787.761540941206
2022-12-15,,15265.272479325704
2022-12-16,,14991.955769649154
2022-12-17,,13108.45344169089
2022-12-18,,10665.257716481457
2022-12-19,,10210.469776998423
2022-12-20,,9555.284514950114
2022-12-21,,11609.537989463879
2022-12-22,,13827.332196288364
2022-12-23,,15028.61102491601
2022-12-24,,13231.91767580181
2022-12-25,,11764.606228469258
2022-12-26,,12551.598081757867
2022-12-27,,11598.527956952546
2022-12-28,,10623.493866457982
2022-12-29,,12080.398480476717
2022-12-30,,12983.535247802427
2023-01-01,,10009.490917283325
2023-01-02,,9988.465518091138
2023-01-03,,13690.737967596546
2023-01-04,,16584.29709292806
2023-01-05,,16480.10564392229
2023-01-06,,16620.030973275836
2023-01-07,,16512.1086135472
2023-01-08,,16481.071052346015
2023-01-09,,13674.272707972403
2023-01-10,,13880.116260212457
2023-01-11,,14789.94248785511
2023-01-12,,15537.445612639853
2023-01-13,,14791.56168767238
2023-01-14,,14834.623682681222
2023-01-15,,15582.390858662993
2023-01-16,,14463.526352871297
2023-01-17,,16039.303598744542
2023-01-18,,16592.472860972644
2023-01-19,,15961.301073064356
2023-01-20,,16385.11172492744
2023-01-21,,16827.157114890928
2023-01-22,,14642.441859115488
2023-01-23,,13494.933795074105
2023-01-24,,17711.478016808192
2023-01-25,,19923.586894096512
2023-01-26,,19575.999183070668
2023-01-27,,17762.191766134587
2023-01-28,,17999.856733588353
2023-01-29,,16682.79627157188
2023-01-30,,16826.47880880939
2023-01-31,,19904.30990099029
2023-02-01,,20657.632815588157
2023-02-02,,20382.231706879214
2023-02-03,,20202.474170600817
2023-02-04,,19910.236130493915
2023-02-05,,17449.706104659
2023-02-06,,16037.72642664835
2023-02-07,,16980.793664621116
2023-02-08,,18658.99458607339
2023-02-09,,19897.843859816683
2023-02-10,,20479.25610013866
2023-02-11,,18347.78138164175
2023-02-12,,17378.389780124347
2023-02-13,,16749.435886330804
2023-02-14,,17552.042195729264
2023-02-15,,18609.845818852013
2023-02-16,,17254.27743765479
2023-02-17,,18697.063155402673
2023-02-18,,19496.81880720857
2023-02-19,,16553.20515063536
2023-02-20,,17490.095144406634
2023-02-21,,18215.07482594378
2023-02-22,,21080.067872298143
2023-02-23,,20557.67003049806
2023-02-24,,20389.171405275276
2023-02-25,,20379.356545151615
2023-02-26,,17644.646331501757
2023-02-27,,18918.932449852935
2023-02-28,,21816.41063773324
2023-03-01,,21710.246316624805
2023-03-02,,16386.532175934917
2023-03-03,,16235.62781474356
2023-03-04,,22262.181457621467
